disease, symptom1, symptom2, symptom3, symptom4, symptom5, medication1, medication2, prevention1, prevention2
Acne, Pimples, Blackheads, Whiteheads, Oily skin, Scarring, Benzoyl peroxide, Salicylic acid, Regular skin cleansing, Avoiding oil-based cosmetics
Allergies, Runny nose, Sneezing, Itchy eyes, Skin rash, Hives, Antihistamines, Decongestants, Avoiding known allergens, Keeping windows closed during pollen season
Alzheimer's disease, Memory loss, Confusion, Mood swings, Difficulty speaking, Loss of independence, Cholinesterase inhibitors, Memantine, Regular exercise, Healthy diet
Anemia, Fatigue, Weakness, Shortness of breath, Pale skin, Irregular heartbeat, Iron supplements, Vitamin B12 supplements, Eating iron-rich foods, Eating vitamin C-rich foods
Arthritis, Joint pain, Stiffness, Swelling, Reduced range of motion, Fatigue, Nonsteroidal anti-inflammatory drugs (NSAIDs), Disease-modifying antirheumatic drugs (DMARDs), Regular exercise, Maintaining a healthy weight
Asthma, Wheezing, Coughing, Shortness of breath, Chest tightness, Difficulty breathing, Inhaled corticosteroids, Short-acting bronchodilators, Avoiding triggers, Regular exercise
Attention deficit hyperactivity disorder (ADHD), Inattention, Hyperactivity, Impulsivity, Forgetfulness, Disorganization, Stimulants, Nonstimulant medications, Cognitive behavioral therapy, Regular exercise
Autism spectrum disorder (ASD), Social difficulties, Communication difficulties, Repetitive behaviors, Sensory issues, Intellectual disability, Applied behavior analysis, Antipsychotic medications, Sensory integration therapy, Speech therapy
Bell's palsy, Facial weakness or paralysis, Drooping eyelid or mouth, Difficulty smiling or closing eye, Loss of sense of taste, Headache, Prednisone, Acyclovir, Protect your face from extreme cold or wind, Avoid close contact with people who have infections
Bipolar disorder, Extreme mood swings, Energy level changes, Impulsivity, Difficulty sleeping, Suicidal thoughts, Lithium, Quetiapine, Regular sleep schedule, Exercise regularly
Bronchitis, Cough, Fatigue, Shortness of breath, Chest discomfort, Sore throat, Antibiotics (for bacterial bronchitis), Inhaler, Avoid smoking and exposure to air pollutants, Get vaccinated against the flu and pneumonia
Cancer, Unexplained weight loss, Fatigue, Pain, Changes in skin, Changes in bowel or bladder habits, Chemotherapy, Radiation therapy, Maintain a healthy lifestyle, Get screened regularly
Cataracts, Blurry vision, Sensitivity to light and glare, Difficulty seeing at night, Faded colors, Double vision, Surgery, Eyeglasses or contacts, Protect your eyes from the sun, Quit smoking
Celiac disease, Diarrhea, Abdominal pain, Bloating, Weight loss, Anemia, Gluten-free diet, Multivitamin, Avoid gluten-containing foods, Read food labels carefully
Chronic obstructive pulmonary disease (COPD), Coughing, Shortness of breath, Wheezing, Chest tightness, Fatigue, Bronchodilators, Corticosteroids, Avoid exposure to air pollution, Quit smoking
Cirrhosis, Fatigue, Nausea, Loss of appetite, Abdominal swelling, Jaundice, Diuretics, Beta blockers, Limit alcohol intake, Get vaccinated against hepatitis A and B
Cold sores, Painful blisters on or around lips, Tingling or itching sensation, Scabbing or crusting over, Acyclovir cream or pills, Valacyclovir, Avoid close contact with people who have cold sores, Use sunscreen on your lips
Colitis, Abdominal pain, Diarrhea, Blood in stool, Urgency to defecate, Weight loss, Anti-inflammatory drugs, Immune system suppressors, Avoid dairy, spicy or fatty foods, Drink plenty of fluids
Crohn's disease, Abdominal pain, Diarrhea, Fatigue, Weight loss, Anemia, Anti-inflammatory drugs, Immune system suppressors, Eat smaller, more frequent meals, Drink plenty of fluids
Cystic fibrosis, Coughing, Shortness of breath, Recurrent lung infections, Poor growth, Salty sweat, Antibiotics, Bronchodilators, Stay up to date on vaccinations, Avoid smoking and exposure to air pollutants
Dementia, Memory loss, Difficulty communicating, Confusion, Mood changes, Personality changes, Donepezil, Memantine, Regular exercise, Social engagement
Depression, Persistent sadness, Loss of interest, Fatigue, Insomnia, Difficulty concentrating, Selective serotonin reuptake inhibitors (SSRIs), Psychotherapy, Regular exercise, Healthy diet
Diabetes, Frequent urination, Excessive thirst, Blurred vision, Fatigue, Slow-healing wounds, Metformin, Insulin, Healthy diet, Regular exercise
Diarrhea, Abdominal cramps, Nausea, Dehydration, Fever, Bloody stools, Loperamide, Antibiotics, Hand hygiene, Safe drinking water
Down syndrome, Intellectual disability, Delayed development, Flat facial features, Short neck, Brushfield spots, Early intervention programs, Surgery, Regular health check-ups, Inclusive education
Dyslexia, Difficulty reading, Slow reading, Poor spelling, Difficulty with phonics, Trouble with time management, Phonics-based instruction, Multisensory teaching, Assistive technology, Accommodations in the classroom
Eczema, Itchy skin, Redness, Dry skin, Cracking skin, Swelling, Topical corticosteroids, Topical calcineurin inhibitors, Moisturizing regularly, Avoiding triggers
Emphysema, Shortness of breath, Wheezing, Chronic cough, Chest tightness, Loss of appetite, Bronchodilators, Inhaled steroids, Avoiding smoking, Avoiding air pollution
Endometriosis, Painful periods, Painful intercourse, Infertility, Painful urination, Fatigue, Hormonal contraceptives, Gonadotropin-releasing hormone agonists, Regular exercise, Healthy diet
Epilepsy, Seizures, Loss of consciousness, Confusion, Uncontrollable movements, Memory problems, Antiepileptic drugs, Surgery, Avoiding triggers, Regular sleep schedule
Fibromyalgia, Widespread pain, Fatigue, Difficulty sleeping, Headaches, Depression, Duloxetine, Pregabalin, Regular exercise, Stress management techniques
Gastroesophageal reflux disease (GERD),Heartburn, Acid reflux, Chest pain, Difficulty swallowing, Regurgitation,Omeprazole, Lansoprazole, Eat smaller and more frequent meals, Avoid lying down after eating
Glaucoma,Gradual loss of peripheral vision, Tunnel vision, Eye redness, Eye pain, Halos around lights,Prostaglandin analogs, Beta blockers, Wear eye protection during certain activities, Get regular eye exams
Gout,Severe joint pain, Redness, Swelling, Warmth, Stiffness,Colchicine, Allopurinol, Drink plenty of fluids, Avoid alcohol and high-purine foods
Graves' disease,Tremors, Nervousness, Rapid or irregular heartbeat, Weight loss, Goiter,Methimazole, Propylthiouracil, Quit smoking, Get enough iodine in the diet
Hearing loss,Muffled speech and other sounds, Difficulty understanding words, Tinnitus, Difficulty hearing consonants, Turning up the volume on electronic devices,Hearing aids, Cochlear implants, Protect your ears from loud noise, Get regular hearing tests
Heart disease,Chest pain, Shortness of breath, Irregular heartbeat, Fatigue, Swelling in the legs,Aspirin, Nitroglycerin, Quit smoking, Exercise regularly
Hemorrhoids,Itching, Irritation, Swelling, Pain, Bleeding,Hydrocortisone cream, Witch hazel pads, Avoid straining during bowel movements, Eat a high-fiber diet
Hepatitis,Fatigue, Nausea, Abdominal pain, Jaundice, Loss of appetite,Interferon, Ribavirin, Get vaccinated, Practice safe sex
Herpes,Blistering sores, Itching or burning, Flu-like symptoms, Tender or swollen lymph nodes, Tingling or itching before the blisters appear,Acyclovir, Valacyclovir, Practice safe sex, Avoid sexual contact during outbreaks
High blood pressure,Headaches, Nosebleeds, Shortness of breath, Dizziness, Chest pain,Diuretics, ACE inhibitors, Maintain a healthy weight, Limit salt and alcohol intake
High cholesterol,Chest pain, Shortness of breath, Numbness or weakness in the legs, Pain when walking, Plaque buildup in arteries,Statins, Fibrates, Eat a healthy diet, Exercise regularly
HIV/AIDS,Flu-like symptoms, Fatigue, Swollen lymph nodes, Rapid weight loss, Night sweats,Highly active antiretroviral therapy (HAART), Pre-exposure prophylaxis (PrEP), Practice safe sex, Get tested regularly
Huntington's disease,Movement problems, Cognitive decline, Mood changes, Difficulty swallowing, Difficulty with balance,Tetrabenazine, Haloperidol, Genetic counseling, Join a support group
Hyperthyroidism,Anxiety, Irritability, Tremors, Weight loss, Irregular heartbeat,Propylthiouracil, Methimazole, Avoid iodine-rich foods, Get regular thyroid function tests
Hypothyroidism,Fatigue, Weight gain, Cold intolerance, Depression, Dry skin,Levothyroxine, Liothyronine, Eat a balanced diet, Get regular thyroid function tests
Inflammatory bowel disease (IBD),Abdominal pain,Diarrhea,Blood in stool,Weight loss,Fatigue,Sulfasalazine,Mesalamine,Healthy diet,Regular exercise
Influenza,Fever,Cough,Sore throat,Body aches,Headache,Acetaminophen,Ibuprofen,Frequent hand washing,Covering mouth and nose while coughing or sneezing
Irritable bowel syndrome (IBS),Abdominal pain,Bloating,Constipation,Diarrhea,Anxiety,Antispasmodics,Laxatives,Stress management,Dietary changes
Kidney disease,High blood pressure,Swelling in feet and ankles,Fatigue,Foamy urine,Nausea and vomiting,ACE inhibitors,ARBs,Dietary changes,Avoiding smoking and excessive alcohol consumption
Leukemia,Weight loss,Fever,Fatigue,Night sweats,Bone pain,Chemotherapy,Targeted therapy,Healthy lifestyle,Avoiding exposure to harmful chemicals
Liver disease,Jaundice,Abdominal pain,Swelling in legs and ankles,Nausea and vomiting,Dark urine,Ursodeoxycholic acid,Corticosteroids,Avoiding excessive alcohol consumption,Healthy diet
Lupus,Fatigue,Joint pain,Rash on face,Headache,Shortness of breath,NSAIDs,Corticosteroids,Regular exercise,Stress management
Lyme disease,Fever,Headache,Fatigue,Bull's eye rash,Joint pain,Doxycline,Amoxicillin,Applying insect repellent,Avoiding tick-infested areas
Macular degeneration,Blurry vision,Distorted vision,Difficulty reading,Dark spots in vision,Diminished color perception,Antioxidants,AREDS2 formula,Regular eye exams,Avoiding smoking
Malaria,Fever,Chills,Headache,Sweating,Body aches,Chloroquine,Mefloquine,Insecticide-treated bed nets,Applying insect repellent
Measles,Fever,Cough,Runny nose,Red, watery eyes,Rash,Acetaminophen,Ibuprofen,Vaccination,Isolation from infected individuals
Meningitis,Headache,Fever,Stiff neck,Confusion,Sensitivity to light,Antibiotics,Acetaminophen,Good hygiene practices,Proper vaccination
Menopause,Hot flashes,Insomnia,Vaginal dryness,Irritability,Depression,Hormone therapy,SSRIs,Regular exercise,Healthy diet
Migraine,Throbbing headache,Sensitivity to light and sound,Nausea and vomiting,Visual disturbances,Weakness,Triptans,Ergotamines,Identifying and avoiding triggers,Regular sleep and meal patterns
Multiple sclerosis,Fatigue,Numbness or tingling,Blurred or double vision,Difficulty walking,Tremors,Interferons,Glatiramer acetate,Avoiding excessive heat and stress,Regular exercise
Muscular dystrophy,Muscle weakness,Difficulty walking,Difficulty standing,Difficulty breathing,Cognitive impairment,Physical therapy,Steroids,Avoiding excessive exercise,Supportive care
Myasthenia gravis,Muscle weakness,Double vision,Difficulty speaking or swallowing,Shortness of breath,Fatigue,Acetylcholinesterase inhibitors,Immunosuppressants,Regular exercise,Stress management
Narcolepsy,Excessive daytime sleepiness,Cataplexy,Hallucinations,Sleep paralysis,Fragmented sleep,Modafinil,Sodium oxybate,Avoiding large meals and heavy exercise before bedtime,Avoiding caffeine and alcohol before bedtime
Neurofibromatosis,Cafe-au-lait spots,Neurofibromas,Freckling,Deformities,Blindness,Vigabatrin,Trametinib,Frequent monitoring by a doctor,Regular skin checks
Obsessive-compulsive disorder (OCD),Obsessive thoughts,Compulsive behavior,Anxiety,Depression,Feelings of guilt,Fluoxetine,Clomipramine,Exposure and response prevention therapy,Deep brain stimulation
Osteoarthritis,Pain and stiffness in joints,Swelling,Decreased range of motion,Grinding sensation,Joint deformities,Acetaminophen,Ibuprofen,Low-impact exercise,Weight management
Osteoporosis,Bone pain and tenderness,Fractures,Decreased height,Stooped posture,Back pain,Alendronate,Risedronate,Calcium and Vitamin D supplementation,Regular weight-bearing exercise
Ovarian cancer,Abdominal swelling or bloating,Pressure or pain in the abdomen,Difficulty eating or feeling full quickly,Changes in bowel or bladder habits,Fatigue,Carboplatin,Paclitaxel,Surgical removal of ovaries and fallopian tubes,Regular pelvic exams and Pap tests
Parkinson's disease, tremors, rigid muscles, slow movements, impaired balance, speech changes, Levodopa, Carbidopa, Exercise regularly, Avoid processed foods
Peptic ulcer, abdominal pain, bloating, nausea, vomiting, loss of appetite, Antacids, H2 blockers, Avoid spicy foods, Reduce stress
Pneumonia, cough, fever, chest pain, difficulty breathing, fatigue, Antibiotics, Antiviral medication, Vaccination, Good hygiene practices
Polio, fever, fatigue, muscle weakness, paralysis, difficulty swallowing, Bed rest, Pain relievers, Vaccination, Proper sanitation
Post-traumatic stress disorder (PTSD), flashbacks, nightmares, anxiety, depression, emotional detachment, Cognitive therapy, Medications for anxiety and depression, Healthy diet, Regular exercise
Prostate cancer, frequent urination, weak urine flow, blood in urine or semen, erectile dysfunction, bone pain, Surgery, Radiation therapy, Healthy diet, Regular exercise
Psoriasis, red patches of skin with silvery scales, itching or burning sensation, thickened or ridged nails, joint pain or stiffness, Methotrexate, Cyclosporine, Avoid triggers, Moisturize skin
Pulmonary embolism, chest pain, shortness of breath, rapid heart rate, coughing up blood, Blood thinners, Thrombolytics, Regular exercise, Stop smoking
Rheumatoid arthritis, joint pain, swelling, stiffness, fatigue, fever, NSAIDs, Disease-modifying antirheumatic drugs (DMARDs), Regular exercise, Healthy diet
Rosacea, redness on the face, small visible blood vessels, bumps or pimples, eye irritation, thickening of the skin, Azelaic acid, Metronidazole, Avoid triggers, Protect skin from sun exposure
